片名,评分,热度,主题,年份,简介,BV码
闪闪的儿科医生,9.9分,2.7亿播放  ·  40.5万弹幕  ·  65.8万追剧,医疗 / 社会 ·,2023 ·,简介：《闪闪的儿科医生》是由哔哩哔哩、深圳广电集团、中广天择、深圳市卫健委、深圳市儿童医院联合打造的大型治愈系医疗纪实节目，节目选取最具代表性的科室及医护人员，聚焦普通人与医院最常发生交集的场景，以儿科医生的工作生活为缩影，围绕不同儿科科室，讲述新生儿、学习困难、单亲带娃、心理问题等育儿热点，将故事辐射社会生活的各个层面，带领观众感悟人生百态，以点带面树立极致鲜活的儿科医生形象，构建温馨、和谐、互助共赢的医患关系。,BV1QV4y1R75B
地球脉动 第三季,9.9分,6283.1万播放  ·  7.8万弹幕  ·  141.8万系列追剧,自然 / 动物 ·,2023 ·,简介：全球最成功的现象级纪实内容IP《地球脉动》（Planet Earth）震撼回归，全新系列《地球脉动III》由BBC Studios自然历史部历时5年拍摄完成，BBC金牌制作人迈克尔·冈顿（Michael Gunton）担任总制片人，被誉为“世界自然纪录片之父”的大卫·爱登堡爵士（Sir David Attenborough）担纲解说，好莱坞金牌配乐大师汉斯·季默（Hans Zimmer）及团队倾力打造原声配乐。承袭该系列对大自然的敬畏感、美感和温暖基调，《地球脉动III》围绕“海陆之间”、“波涛之下”、“广袤之地”、“滴水之源”、“林木之中”、“极端之境”、“与人共舞”和“家园卫士”8个不同主题，探索地球上众多令人称奇的栖息地，生动呈现自然界最壮丽恢弘的奇观与野生动物们不可思议的生存传奇，揭示大自然发生的惊人变化及深远影响，感受生命的延续与轮回。,BV1gg4y1o75K
舌尖上的中国 第一季,9.9分,7279.3万播放  ·  30.4万弹幕  ·  113.8万系列追剧,美食 ·,2020 ·,简介：该片从2011年3月开始大规模拍摄，是国内第一次使用高清设备拍摄的大型美食类纪录片。摄制组在一年多的时间里，踏遍中国的山山水水，从繁华的东南沿海大都市到边远的大山深处的村落，编导们拍下了一道道美味佳肴，更纪录了一个个触动人心的故事。在每一种食材、每一种制作工艺的背后，都蕴含着丰富的文化信息，彰显着中国作为东方文明古国的深厚传统；同时通过描绘人和食物的故事，展示着这片土地上人与人之间、人与大自然之间的和谐美好的关系。,BV1MK4y1v7Sj
河西走廊,9.9分,3073.9万播放  ·  39.3万弹幕  ·  106万追剧,历史 / 人文 ·,2015 ·,简介：《河西走廊》是一部由中共甘肃省委宣传部、中央电视台科教频道联合出品，北京伯璟文化传播有限公司承制的十集系列纪录片。该片以位于中国西部的重要通道，丝绸之路的黄金段——河西走廊为讲述对象，从政治、军事、经济、文化、宗教等多角度呈现了从汉代开始直至今天，河西走廊及其连接的中国 西部 的历史，以及它对中国历史和文明进程中所发挥的独特作用。“河西走廊关乎国家经略”是贯穿全篇的主题。,BV1Fx41117jB
蓝色星球 第二季,9.9分,1751.5万播放  ·  3万弹幕  ·  86.9万系列追剧,动物 / 自然 ·,2022 ·,"简介：《蓝色星球II》将由大卫·爱登堡爵士主持。在长达4年的拍摄过程中, 制作团队共执行了125次的探险，水下拍摄时数长达到6000多个小时。与2001年首播的《蓝色星球》相隔16年之后，制作团队透过新的科技技术突破以往限制，将许多过去未知的地带、惊人的生物及其令人瞠目结舌的举动呈现在观众眼前自从《蓝色星球》2001年开播以来，我们对大海之下生命的理解被彻底颠覆了。从北极熊出没的北冰洋到焕发着勃勃生机的蓝色珊瑚环礁，本系列纪录片同大家分享一些令人吃惊的新发现；邂逅在南冰洋深处神出鬼没的奇怪章鱼，观赏巨大的鲹鱼跳出水面，飞跃到半空中捕鱼；骑在虎鲸的背上，同它一起冲向鱼群。《蓝色星球2》带领我们体验让人敬畏称奇的新地方，见识魅力四射的新物种，了解非同寻常的新行为。",BV1SR4y1f7Ac
绿色星球,9.9分,1.5亿播放  ·  29.8万弹幕  ·  166万系列追剧,自然 ·,2022 ·,简介： 《绿色星球》是全球首个通过沉浸式的呈现方式聚焦植物的4K纪录片，为观众揭开了这个不为人知却又和人类紧密相关的隐秘世界。“世界自然纪录片之父”大卫·爱登堡爵士将前往美国、哥斯达黎加、克罗地亚和北欧，从沙漠到山区，从雨林到冰天雪地的北极，带领观众进入一个超出人类想象的世界。,BV1qZ4y1D7tX
地球脉动,9.9分,2808.4万播放  ·  30万弹幕  ·  141.8万系列追剧,自然 / 动物 ·,2006 ·,简介：从南极到北极，从赤道到寒带，从非洲草原到热带雨林，再从荒凉峰顶到深邃大海，难以数计的生物以极其绝美的身姿呈现在世人面前。我们看到了Okavango洪水的涨落及其周边赖以生存的动物们的生存状态，看到了罕见的雪豹在漫天大雪中猎食的珍贵画面；看到了冰原上企鹅、北极熊、海豹等生物相互依存的严苛情景，也见识了生活在大洋深处火山口高温环境下的惊奇生物。当然还有地球各地的壮观美景与奇特地貌。,BV1Ux411S7oh
数学漫步之旅,9.9分,1358.8万播放  ·  6989弹幕  ·  36.8万追剧,科技 / 人文 ·,2022 ·,简介：我们将尝试解释数学，并非学校里教的那样，而是一种诗意的、神秘的思维结构。它强调逻辑，即数学让我们掌握的现实中的实际应用。这个系列旨在让好奇的观众发现数学新奇的一面，让他们觉得数学是思考的一部分，是文化的一部分。,BV1mY4y1E7CC
人生第一次,9.9分,5472.6万播放  ·  45.1万弹幕  ·  152.5万系列追剧,人文 / 社会 ·,2020 ·,简介：《人生第一次》是央视网联合上海广播电视台纪录片中心、bilibili出品的12集系列人文纪录片，旨在通过蹲守拍摄，观察不同人群在人生重要节点的“第一次”，以点带面，折射中国人当下的生存哲学。纪录片时间维度上贯穿了出生、上学、成家、立业、养老等人生中不同阶段，空间上分布于医院、学校、军队、村庄、工厂、老年大学等不同人生场景。每集开头，邀请一位与故事内核相呼应的“故事讲述人”引出正片，对故事的旁白进行配音和情感诠释。,BV1fJ411E7pb
荒野求生 第一季,9.9分,3893万播放  ·  65.1万弹幕  ·  161.7万系列追剧,探险 ·,2019 ·,简介：Discovery频道真人秀节目，曾服役于英国特种部队的求生专家贝尔·格里尔斯每集被空降到一处环境恶劣、甚至有致命危险的无人地，如雨林、沙漠、丘陵、冰原等，浑身只携带一点简陋工具，由摄影小组全程记录他的整个逃生过程。他会利用各种求生技巧，包括判断方向、寻找水源、获取食物等等，我们可以惊异地看着贝尔大啖蛆、生肉、昆虫、爬虫，如何利用自己的尿液，如何用木棍击杀野兔，如何对抗烈日、寻找夜间藏身之所，最终成功在时限之内到达有人类活动的领域。从而教会观众在同等险境中该如何脱身。,BV1cW411Z7fL
